idEpisodio,titulo,numEpisodio,duracion
1,Capítulo 1,1,45 minutos
2,Capítulo 2,2,50 minutos
3,Capítulo 3,3,55 minutos
4,Capítulo 4,4,60 minutos
5,Capítulo 5,5,65 minutos
6,Capítulo 6,6,70 minutos
7,Capítulo 7,7,75 minutos
8,Capítulo 8,8,80 minutos
9,Capítulo 9,9,85 minutos
10,Capítulo 10,10,90 minutos
11,Capítulo 11,11,95 minutos
12,Capítulo 12,12,100 minutos
13,Capítulo 13,13,105 minutos
14,Capítulo 14,14,110 minutos
15,Capítulo 15,15,115 minutos
16,Capítulo 16,16,120 minutos
17,Capítulo 17,17,125 minutos
18,Capítulo 18,18,130 minutos
19,Capítulo 19,19,135 minutos
20,Capítulo 20,20,140 minutos
